,Emp ID,Name_prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,DOB,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Password,Test_date,Day,Month,Year
10,231469.0,Mr.,Ralph,L,Flores,M,ralph.flores@yahoo.com,Terry Flores,Michelle Flores,2002-03-27 00:00:00,2:15:50 AM,42.5,80.0,4/14/2009,Q2,H1,2009.0,4.0,April,Apr,14.0,Tuesday,Tue,8.29,118457.0,8%,302-15-0130,316-280-2864,Sabetha,Nemaha,Sabetha,KS,66534.0,Midwest,rlflores,7tP\LrSr}\qTqj,,27,3,2002
11,153989.0,Prof.,Jack,C,Alexander,M,jack.alexander@gmail.com,Samuel Alexander,Sharon Alexander,2002-03-28 00:00:00,4:33:57 PM,22.21,61.0,1/5/2017,Q1,H1,2017.0,1.0,January,Jan,5.0,Thursday,Thu,0.56,82965.0,23%,428-99-9413,702-603-3769,Las Vegas,Clark,Las Vegas,NV,89170.0,West,jcalexander,9L*-O1U.9mSUSh,,28,3,2002
12,386158.0,Mrs.,Melissa,Q,King,F,melissa.king@comcast.net,Philip King,Maria King,2002-03-29 00:00:00,6:04:57 PM,45.45,55.0,11/24/2015,Q4,H2,2015.0,11.0,November,Nov,24.0,Tuesday,Tue,1.68,166892.0,1%,277-17-9106,216-605-3731,New Matamoras,Washington,New Matamoras,OH,45767.0,Midwest,mqking,FE5i<e-Y}[4f78,,29,3,2002
13,301576.0,Hon.,Wayne,G,Watson,M,wayne.watson@gmail.com,Ronald Watson,Margaret Watson,2002-03-30 00:00:00,12:23:21 AM,21.1,87.0,7/19/2017,Q3,H2,2017.0,7.0,July,Jul,19.0,Wednesday,Wed,0.02,92758.0,14%,011-94-6649,701-231-9370,Maida,Cavalier,Maida,ND,58255.0,Midwest,wgwatson,wM4J{]&j\-eGc,,30,3,2002
14,441771.0,Mrs.,Cheryl,O,Scott,F,cheryl.scott@gmail.com,Richard Scott,Lois Scott,2002-03-31 00:00:00,6:59:29 PM,59.47,47.0,11/26/1990,Q4,H2,1990.0,11.0,November,Nov,26.0,Monday,Mon,26.69,92220.0,12%,596-94-2279,215-288-9345,Quecreek,Somerset,Quecreek,PA,15555.0,Northeast,coscott,Vbb+~2N|_yR,,31,3,2002
15,528509.0,Hon.,Paula,G,Diaz,F,paula.diaz@gmail.com,Alan Diaz,Kathryn Diaz,2002-11-03 00:00:00,8:11:15 PM,50.97,42.0,8/22/1994,Q3,H2,1994.0,8.0,August,Aug,22.0,Monday,Mon,22.95,152654.0,8%,234-57-7671,252-531-7641,Beulaville,Duplin,Beulaville,NC,28518.0,South,pgdiaz,3Kg55luU,,3,11,2002
16,912990.0,Mr.,Joshua,T,Stewart,M,joshua.stewart@yahoo.ca,Todd Stewart,Martha Stewart,2002-11-03 00:00:00,3:47:46 AM,47.23,68.0,9/2/2002,Q3,H2,2002.0,9.0,September,Sep,2.0,Monday,Mon,14.91,184896.0,1%,755-07-3676,217-279-9342,New Douglas,Madison,New Douglas,IL,62074.0,Midwest,jtstewart,K?vi9BBznj,,3,11,2002
17,214352.0,Ms.,Theresa,G,Lee,F,theresa.lee@gmail.com,John Lee,Rebecca Lee,2002-12-03 00:00:00,9:20:52 AM,24.66,59.0,1/19/2015,Q1,H1,2015.0,1.0,January,Jan,19.0,Monday,Mon,2.52,197537.0,1%,055-02-9969,319-553-8919,Toeterville,Mitchell,Toeterville,IA,50481.0,Midwest,tglee,JS#hN&Xij\%QEr,,3,12,2002
18,890290.0,Hon.,Julia,S,Scott,F,julia.scott@apple.com,Lawrence Scott,Amy Scott,2002-03-13 00:00:00,9:24:39 PM,58.08,56.0,2/23/2005,Q1,H1,2005.0,2.0,February,Feb,23.0,Wednesday,Wed,12.43,141518.0,3%,251-99-1941,423-939-1010,Primm Springs,Hickman,Primm Springs,TN,38476.0,South,jsscott,r.:Q7c^Tpb,,13,3,2002
19,622406.0,Mr.,Thomas,Q,Lewis,M,thomas.lewis@gmail.com,Ryan Lewis,Lois Lewis,2002-03-14 00:00:00,8:28:14 PM,49.85,73.0,6/7/1998,Q2,H1,1998.0,6.0,June,Jun,7.0,Sunday,Sun,19.15,73862.0,3%,467-99-2604,314-679-3697,Dutchtown,Cape Girardeau,Dutchtown,MO,63745.0,Midwest,tqlewis,y;OJd_Oa#4g|!G,,14,3,2002
20,979607.0,Ms.,Carol,J,Edwards,F,carol.edwards@msn.com,Shawn Edwards,Susan Edwards,2002-03-15 00:00:00,9:28:36 AM,22.64,56.0,4/25/2016,Q2,H1,2016.0,4.0,April,Apr,25.0,Monday,Mon,1.26,93967.0,30%,316-35-9870,225-283-4295,Shreveport,Caddo,Shreveport,LA,71162.0,South,cjedwards,wi>v-a9gt,,15,3,2002
21,969580.0,Prof.,Matthew,L,Turner,M,matthew.turner@gmail.com,Jose Turner,Kathy Turner,2002-03-16 00:00:00,1:37:48 AM,23.77,56.0,2/7/2016,Q1,H1,2016.0,2.0,February,Feb,7.0,Sunday,Sun,1.47,52237.0,9%,598-92-1988,236-972-7624,Heathsville,Northumberland,Heathsville,VA,22473.0,South,mlturner,I>tL>d[|lZdi_|^,,16,3,2002
22,426038.0,Hon.,Joan,C,Stewart,F,joan.stewart@yahoo.com,Charles Stewart,Julia Stewart,2002-03-17 00:00:00,11:14:04 AM,44.72,56.0,12/30/2009,Q4,H2,2009.0,12.0,December,Dec,30.0,Wednesday,Wed,7.58,111673.0,12%,429-99-6443,216-637-6800,Middleport,Meigs,Middleport,OH,45760.0,Midwest,jcstewart,q@mq.U~D#1MPgZ,,17,3,2002
23,388642.0,Mrs.,Ruby,R,Rogers,F,ruby.rogers@gmail.com,Ronald Rogers,Teresa Rogers,2002-03-18 00:00:00,1:08:30 PM,37.27,59.0,8/30/2013,Q3,H2,2013.0,8.0,August,Aug,30.0,Friday,Fri,3.91,160623.0,9%,236-55-0172,423-231-6507,Woodbury,Cannon,Woodbury,TN,37190.0,South,rrrogers,t>#P@D9s<:9\V,,18,3,2002
24,560455.0,Ms.,Carolyn,V,Hayes,F,carolyn.hayes@hotmail.co.uk,Jimmy Hayes,Sara Hayes,2002-03-19 00:00:00,12:52:37 PM,59.42,53.0,7/3/2001,Q3,H2,2001.0,7.0,July,Jul,3.0,Tuesday,Tue,16.08,42005.0,14%,730-28-1350,239-882-8784,Saint Cloud,Osceola,Saint Cloud,FL,34771.0,South,cvhayes,NY!Y2sw.[_v-Q9{,,19,3,2002
25,477253.0,Mrs.,Anne,L,Russell,F,anne.russell@ibm.com,Jimmy Russell,Stephanie Russell,2002-03-20 00:00:00,2:57:12 AM,28.02,60.0,11/24/2013,Q4,H2,2013.0,11.0,November,Nov,24.0,Sunday,Sun,3.68,103160.0,29%,456-99-5619,605-635-1306,Stockholm,Grant,Stockholm,SD,57264.0,Midwest,alrussell,c8Nk&Y^~Vz!2,,20,3,2002
26,263480.0,Hon.,Daniel,K,Cooper,M,daniel.cooper@yahoo.com,Louis Cooper,Julie Cooper,2002-03-21 00:00:00,7:24:56 PM,27.59,60.0,3/6/2014,Q1,H1,2014.0,3.0,March,Mar,6.0,Thursday,Thu,3.4,153790.0,13%,181-86-2024,701-510-8162,Manning,Dunn,Manning,ND,58642.0,Midwest,dkcooper,d8p{Pwx2fsW0-Z,,21,3,2002
27,683826.0,Mr.,Roger,L,Roberts,M,roger.roberts@gmail.com,Antonio Roberts,Katherine Roberts,2002-03-22 00:00:00,3:46:56 PM,48.09,77.0,1/29/2009,Q1,H1,2009.0,1.0,January,Jan,29.0,Thursday,Thu,8.5,129625.0,12%,120-98-6493,206-497-3141,Mount Vernon,Skagit,Mount Vernon,WA,98273.0,West,rlroberts,41:C_0ik|Jb0iTO,,22,3,2002
28,474599.0,Drs.,Maria,W,Walker,F,maria.walker@microsoft.com,Ralph Walker,Teresa Walker,2002-03-23 00:00:00,11:07:50 PM,42.39,41.0,10/1/1998,Q4,H2,1998.0,10.0,October,Oct,1.0,Thursday,Thu,18.84,48944.0,21%,447-27-3175,423-668-5506,Lawrenceburg,Lawrence,Lawrenceburg,TN,38464.0,South,mwwalker,cw?%U}s{?,,23,3,2002
29,335732.0,Ms.,Brenda,M,Butler,F,brenda.butler@gmail.com,Phillip Butler,Joyce Butler,2002-03-24 00:00:00,3:15:30 AM,53.68,41.0,8/20/1987,Q3,H2,1987.0,8.0,August,Aug,20.0,Thursday,Thu,29.96,60508.0,29%,282-15-6434,480-814-8284,Mesa,Maricopa,Mesa,AZ,85208.0,West,bmbutler,u+CtpZ~gyR*>,,24,3,2002
30,329752.0,Hon.,Lillian,X,Brown,F,lillian.brown@aol.com,Gary Brown,Virginia Brown,2002-03-25 00:00:00,12:00:55 AM,36.24,49.0,4/13/2015,Q2,H1,2015.0,4.0,April,Apr,13.0,Monday,Mon,2.29,67251.0,22%,249-99-8821,239-812-9041,Panacea,Wakulla,Panacea,FL,32346.0,South,lxbrown,CG-M5~z:,,25,3,2002
31,893212.0,Ms.,Amy,B,Howard,F,amy.howard@aol.com,James Howard,Virginia Howard,2002-03-26 00:00:00,4:20:22 AM,36.14,52.0,6/1/2003,Q2,H1,2003.0,6.0,June,Jun,1.0,Sunday,Sun,14.17,112715.0,30%,686-24-2843,803-613-3168,Kline,Kline,Kline,SC,29814.0,South,abhoward,tNo::TEG,,26,3,2002
32,621833.0,Mr.,Gregory,X,Edwards,M,gregory.edwards@outlook.com,Jose Edwards,Helen Edwards,2002-03-27 00:00:00,12:23:15 AM,23.92,64.0,9/30/2015,Q3,H2,2015.0,9.0,September,Sep,30.0,Wednesday,Wed,1.83,169245.0,22%,010-94-6817,503-256-9654,Bonanza,Klamath,Bonanza,OR,97623.0,West,gxedwards,V^sVy*MO{,,27,3,2002
33,456747.0,Mr.,Roy,Z,Griffin,M,roy.griffin@yahoo.com,Benjamin Griffin,Wanda Griffin,2017-12-03 00:00:00,12:13:48 AM,26.24,62.0,8/23/2012,Q3,H2,2012.0,8.0,August,Aug,23.0,Thursday,Thu,4.93,170895.0,19%,358-08-7660,219-506-9378,Liberty,Union,Liberty,IN,47353.0,Midwest,rzgriffin,qm&h<b.NsKaZ,,3,12,2017
34,278556.0,Prof.,Richard,Y,Mitchell,M,richard.mitchell@verizon.net,Peter Mitchell,Andrea Mitchell,2018-12-03 00:00:00,6:30:29 AM,24.02,81.0,8/18/2016,Q3,H2,2016.0,8.0,August,Aug,18.0,Thursday,Thu,0.94,122226.0,14%,013-94-5886,205-621-5884,Ohatchee,Calhoun,Ohatchee,AL,36271.0,South,rymitchell,RWeXJPOi:KpX<Rn,,3,12,2018
35,333476.0,Hon.,Mary,P,Wilson,F,mary.wilson@sbcglobal.net,Robert Wilson,Jennifer Wilson,2019-12-03 00:00:00,1:45:41 AM,49.69,54.0,12/22/1991,Q4,H2,1991.0,12.0,December,Dec,22.0,Sunday,Sun,25.62,109394.0,16%,198-84-0652,423-937-8660,Nashville,Davidson,Nashville,TN,37219.0,South,mpwilson,Pwl&W:|<_,,3,12,2019
36,218791.0,Mr.,Aaron,N,Price,M,aaron.price@bp.com,Michael Price,Diana Price,2020-12-03 00:00:00,3:42:13 AM,48.49,56.0,7/3/1997,Q3,H2,1997.0,7.0,July,Jul,3.0,Thursday,Thu,20.08,54402.0,0%,491-29-5152,219-287-8926,Eckerty,Crawford,Eckerty,IN,47116.0,Midwest,anprice,uKxgV4uO&k@,,3,12,2020
37,134841.0,Ms.,Donna,R,Brown,F,donna.brown@aol.com,Adam Brown,Irene Brown,2020-03-13 00:00:00,5:05:35 AM,33.89,57.0,7/17/2013,Q3,H2,2013.0,7.0,July,Jul,17.0,Wednesday,Wed,4.03,129836.0,8%,544-81-5182,212-434-7910,Lima,Livingston,Lima,NY,14485.0,Northeast,drbrown,u?%QOo2ykK,,13,3,2020
38,726264.0,Hon.,Carl,N,Collins,M,carl.collins@yahoo.com,Gerald Collins,Phyllis Collins,2022-12-03 00:00:00,2:18:24 PM,43.63,90.0,6/9/2007,Q2,H1,2007.0,6.0,June,Jun,9.0,Saturday,Sat,10.14,162159.0,7%,544-81-6171,479-740-7633,Wright,Jefferson,Wright,AR,72182.0,South,cncollins,XinULSmjAFL/,,3,12,2022
39,766610.0,Ms.,Joyce,E,Jenkins,F,joyce.jenkins@aol.com,Edward Jenkins,Susan Jenkins,2023-12-03 00:00:00,2:54:56 AM,55.97,44.0,5/14/2010,Q2,H1,2010.0,5.0,May,May,14.0,Friday,Fri,7.21,119321.0,13%,695-16-6506,262-455-4187,Ellsworth,Pierce,Ellsworth,WI,54011.0,Midwest,jejenkins,C5/iW3Ry#o{~elV,,3,12,2023
40,923947.0,Ms.,Mary,G,Bryant,F,mary.bryant@verizon.net,Joshua Bryant,Norma Bryant,2024-12-03 00:00:00,12:02:11 AM,55.14,45.0,5/20/2004,Q2,H1,2004.0,5.0,May,May,20.0,Thursday,Thu,13.2,155442.0,4%,491-29-7461,319-827-3516,Conroy,Iowa,Conroy,IA,52220.0,Midwest,mgbryant,A[iR?Z1{,,3,12,2024
41,227922.0,Hon.,Amanda,M,Hughes,F,amanda.hughes@rediffmail.com,Roy Hughes,Cynthia Hughes,2025-12-03 00:00:00,2:43:26 AM,35.02,40.0,4/19/2007,Q2,H1,2007.0,4.0,April,Apr,19.0,Thursday,Thu,10.28,114257.0,22%,311-35-2540,225-544-9700,Lake Charles,Calcasieu,Lake Charles,LA,70605.0,South,amhughes,B2N>J{_k7]F,,3,12,2025
42,265813.0,Hon.,Jack,E,Campbell,M,jack.campbell@gmail.com,Philip Campbell,Wanda Campbell,2026-12-03 00:00:00,2:25:34 PM,32.58,50.0,7/29/2007,Q3,H2,2007.0,7.0,July,Jul,29.0,Sunday,Sun,10.01,186280.0,23%,047-15-1537,316-499-5737,Kalvesta,Kalvesta,Kalvesta,KS,67856.0,Midwest,jecampbell,rh\N>WRr4hl~l,,3,12,2026
43,247137.0,Mr.,Alan,E,Rivera,M,alan.rivera@apple.com,Bobby Rivera,Jennifer Rivera,2027-12-03 00:00:00,9:46:54 PM,38.65,80.0,6/7/2006,Q2,H1,2006.0,6.0,June,Jun,7.0,Wednesday,Wed,11.15,154810.0,12%,399-31-7149,423-277-6819,Knoxville,Knox,Knoxville,TN,37901.0,South,aerivera,rSuD~3HS*{S,,3,12,2027
44,407061.0,Ms.,Elizabeth,Q,Jackson,F,elizabeth.jackson@aol.com,Scott Jackson,Catherine Jackson,2011-02-13 00:00:00,5:45:35 AM,52.99,56.0,1/19/2005,Q1,H1,2005.0,1.0,January,Jan,19.0,Wednesday,Wed,12.53,85420.0,24%,660-24-4434,603-568-6118,Rochester,Strafford,Rochester,NH,3867.0,Northeast,eqjackson,EAHcnWsf6xMRwr],,13,2,2011
45,226714.0,Drs.,Nancy,L,Davis,F,nancy.davis@ibm.com,Bruce Davis,Jessica Davis,2012-02-13 00:00:00,2:51:17 AM,33.73,52.0,8/25/2012,Q3,H2,2012.0,8.0,August,Aug,25.0,Saturday,Sat,4.93,94986.0,11%,224-99-5928,219-610-3067,Bowling Green,Clay,Bowling Green,IN,47833.0,Midwest,nldavis,bv-KfTutT?0*pm,,13,2,2012
46,702813.0,Mr.,Ernest,D,Martinez,M,ernest.martinez@gmail.com,Ryan Martinez,Beverly Martinez,2013-02-13 00:00:00,10:28:03 PM,27.73,53.0,1/24/2016,Q1,H1,2016.0,1.0,January,Jan,24.0,Sunday,Sun,1.51,172098.0,8%,672-48-7749,479-951-4138,Uniontown,Crawford,Uniontown,AR,72955.0,South,edmartinez,qe?JNGBY{[\7;dD,,13,2,2013
47,524896.0,Ms.,Judy,Y,Hernandez,F,judy.hernandez@gmail.com,Fred Hernandez,Pamela Hernandez,2014-02-13 00:00:00,5:49:46 AM,56.38,40.0,12/27/2011,Q4,H2,2011.0,12.0,December,Dec,27.0,Tuesday,Tue,5.59,133332.0,30%,534-71-4481,316-736-6126,Topeka,Shawnee,Topeka,KS,66606.0,Midwest,jyhernandez,kiB:v!j&?D!&NYY,,13,2,2014
48,363065.0,Drs.,Nancy,L,Jones,F,nancy.jones@gmail.com,Eugene Jones,Sandra Jones,2015-02-13 00:00:00,3:06:00 AM,23.73,60.0,10/16/2015,Q4,H2,2015.0,10.0,October,Oct,16.0,Friday,Fri,1.78,61924.0,4%,681-24-3165,212-825-1930,New York City,New York,New York City,NY,10087.0,Northeast,nljones,J}HJq/zVF-Aq2,,13,2,2015
49,879753.0,Mrs.,Pamela,X,Wright,F,pamela.wright@aol.com,Terry Wright,Debra Wright,2016-02-13 00:00:00,3:43:43 AM,21.3,47.0,6/9/2017,Q2,H1,2017.0,6.0,June,Jun,9.0,Friday,Fri,0.13,149262.0,9%,459-99-9201,307-329-8832,Banner,Sheridan,Banner,WY,82832.0,West,pxwright,3a*&[Y^pV\0!rU,,13,2,2016
50,958326.0,Mr.,Larry,T,Miller,M,larry.miller@shell.com,Russell Miller,Mildred Miller,2017-02-13 00:00:00,8:55:23 AM,28.76,75.0,2/22/2017,Q1,H1,2017.0,2.0,February,Feb,22.0,Wednesday,Wed,0.43,97904.0,20%,207-84-9482,217-574-9283,East Saint Louis,St. Clair,East Saint Louis,IL,62201.0,Midwest,ltmiller,2WgF#:ew**x#,,13,2,2017
51,447813.0,Mrs.,Ann,Q,Coleman,F,ann.coleman@ibm.com,Harold Coleman,Tina Coleman,2018-02-13 00:00:00,9:46:13 PM,28.23,41.0,11/19/2013,Q4,H2,2013.0,11.0,November,Nov,19.0,Tuesday,Tue,3.69,130014.0,12%,027-92-0557,319-994-4179,Hancock,Pottawattamie,Hancock,IA,51536.0,Midwest,aqcoleman,g2]GlvlL5,,13,2,2018
52,525955.0,Drs.,Judy,C,Gonzales,F,judy.gonzales@gmail.com,Kevin Gonzales,Sharon Gonzales,2019-02-13 00:00:00,7:11:37 PM,58.15,51.0,1/3/1992,Q1,H1,1992.0,1.0,January,Jan,3.0,Friday,Fri,25.58,149575.0,9%,029-92-2155,201-640-8645,Eatontown,Monmouth,Eatontown,NJ,7724.0,Northeast,jcgonzales,yDl}pfaWs{Hro6,,13,2,2019
53,818384.0,Mr.,Peter,X,Washington,M,peter.washington@bp.com,Douglas Washington,Jean Washington,2020-02-13 00:00:00,7:45:32 AM,34.75,70.0,11/29/2009,Q4,H2,2009.0,11.0,November,Nov,29.0,Sunday,Sun,7.67,173226.0,27%,039-74-8867,231-322-0316,Portage,Kalamazoo,Portage,MI,49024.0,Midwest,pxwashington,97%d^2rk41!E>*Q,,13,2,2020
54,971640.0,Prof.,Clarence,A,Ross,M,clarence.ross@apple.com,Arthur Ross,Louise Ross,2021-02-13 00:00:00,7:34:07 PM,56.66,64.0,12/31/2008,Q4,H2,2008.0,12.0,December,Dec,31.0,Wednesday,Wed,8.58,165272.0,9%,372-37-5315,423-772-0118,Oneida,Scott,Oneida,TN,37841.0,South,caross,h&jmac@+QD?B,,13,2,2021
55,253573.0,Ms.,Sharon,E,Lopez,F,sharon.lopez@gmail.com,Daniel Lopez,Susan Lopez,2022-02-13 00:00:00,6:24:30 AM,26.25,43.0,3/7/2014,Q1,H1,2014.0,3.0,March,Mar,7.0,Friday,Fri,3.39,190139.0,21%,064-02-2589,304-934-5548,Bartley,McDowell,Bartley,WV,24813.0,South,selopez,GsP~S?FYY,,13,2,2022
56,904898.0,Drs.,Ann,Q,Cooper,F,ann.cooper@exxonmobil.com,Harold Cooper,Mildred Cooper,2023-02-13 00:00:00,3:01:52 AM,24.61,44.0,2/15/2017,Q1,H1,2017.0,2.0,February,Feb,15.0,Wednesday,Wed,0.45,182521.0,30%,219-89-6310,406-278-6460,Arlee,Lake,Arlee,MT,59821.0,West,aqcooper,i_^#>]tFpt,,13,2,2023
57,515103.0,Ms.,Anne,A,Perez,F,anne.perez@sbcglobal.net,Douglas Perez,Doris Perez,2024-02-13 00:00:00,1:44:42 AM,59.27,48.0,7/28/2003,Q3,H2,2003.0,7.0,July,Jul,28.0,Monday,Mon,14.01,114426.0,9%,594-99-9091,423-837-3338,Cookeville,Putnam,Cookeville,TN,38505.0,South,aaperez,y;n9A#}b,,13,2,2024
58,491943.0,Mrs.,Nancy,P,Howard,F,nancy.howard@gmail.com,Gregory Howard,Mildred Howard,2025-02-13 00:00:00,9:17:37 PM,56.27,45.0,2/6/1999,Q1,H1,1999.0,2.0,February,Feb,6.0,Saturday,Sat,18.48,101553.0,25%,035-74-2732,236-973-8086,Saxe,Charlotte,Saxe,VA,23967.0,South,nphoward,OC\&tG&?c,,13,2,2025
59,750173.0,Mr.,Antonio,R,Roberts,M,antonio.roberts@hotmail.com,Timothy Roberts,Diana Roberts,2026-02-13 00:00:00,2:47:04 PM,21.93,82.0,5/1/2017,Q2,H1,2017.0,5.0,May,May,1.0,Monday,Mon,0.24,181646.0,30%,281-15-7944,205-267-7304,Mc Calla,Jefferson,Mc Calla,AL,35111.0,South,arroberts,h>.g!B:VcNN,,13,2,2026
60,687017.0,Ms.,Frances,P,Watson,F,frances.watson@outlook.com,Adam Watson,Diana Watson,2027-02-13 00:00:00,11:52:21 PM,56.53,42.0,8/20/2010,Q3,H2,2010.0,8.0,August,Aug,20.0,Friday,Fri,6.94,46945.0,22%,305-37-1946,406-530-8069,Trego,Lincoln,Trego,MT,59934.0,West,fpwatson,rjV1$at!wq53a$,,13,2,2027
61,241882.0,Ms.,Debra,G,Wood,F,debra.wood@hotmail.com,Martin Wood,Theresa Wood,2028-02-13 00:00:00,6:58:21 AM,47.78,54.0,1/10/1991,Q1,H1,1991.0,1.0,January,Jan,10.0,Thursday,Thu,26.56,84318.0,19%,342-11-6695,308-646-6219,Blair,Washington,Blair,NE,68009.0,Midwest,dgwood,iO8B@*yA*mG6b9o,,13,2,2028
62,758872.0,Mr.,Henry,Y,Jenkins,M,henry.jenkins@hotmail.com,Albert Jenkins,Beverly Jenkins,2029-02-13 00:00:00,2:58:05 PM,32.75,70.0,6/21/2017,Q2,H1,2017.0,6.0,June,Jun,21.0,Wednesday,Wed,0.1,102384.0,11%,499-29-3125,314-731-7135,Riverside,Platte,Riverside,MO,64150.0,Midwest,hyjenkins,zPnRU5Bo,,13,2,2029
63,940922.0,Hon.,Melissa,X,Butler,F,melissa.butler@hotmail.com,Robert Butler,Anne Butler,2030-02-13 00:00:00,8:44:14 AM,22.72,55.0,2/5/2017,Q1,H1,2017.0,2.0,February,Feb,5.0,Sunday,Sun,0.47,167631.0,30%,301-15-9149,308-827-9016,Maxwell,Lincoln,Maxwell,NE,69151.0,Midwest,mxbutler,hY3BqUR>6F,,13,2,2030
64,917937.0,Mr.,Todd,H,Hall,M,todd.hall@yahoo.com,Thomas Hall,Kathleen Hall,2031-02-13 00:00:00,4:54:02 AM,25.93,74.0,5/8/2016,Q2,H1,2016.0,5.0,May,May,8.0,Sunday,Sun,1.22,163560.0,0%,633-31-1781,240-513-8668,Randallstown,Baltimore,Randallstown,MD,21133.0,South,thhall,Lgdb8q<0L@-/,,13,2,2031
